Cluster;RA_ICRS;DE_ICRS;GLON;GLAT;r50;nbstars07;pmRA*;e_pmRA*;pmDE;e_pmDE;plx;e_plx;Flag;AgeNN;AVNN;DMNN;DistPc;X;Y;Z;Rgc;SimbadName;_RA.icrs;_DE.icrs
NGC_654          ;026.008;+61.883;129.086; -0.359; 0.053; 329; -1.086; 0.101; -0.265; 0.120; 0.313; 0.050;NN            ; 6.99; 2.29;12.47;  3125;  -1970;   2425;   -19; 10591;NGC 654                        ;026.0080;+61.8830
NGC_6561         ;272.659;-16.740; 13.436;  1.123; 0.082;  54; -0.002; 0.109; -0.754; 0.110; 0.655; 0.040;NN            ; 7.27; 0.95;10.85;  1480;   1439;    343;    29;  6908;NGC 6561                       ;272.6590;-16.7400
NGC_6568         ;273.192;-21.612;  9.406; -1.662; 0.140; 150;  0.593; 0.144; -1.377; 0.131; 0.936; 0.043;NN            ; 8.94; 0.67;10.17;  1079;   1064;    176;   -31;  7277;NGC 6568                       ;273.1920;-21.6120
NGC_6583         ;273.962;-22.143;  9.280; -2.543; 0.046; 170;  1.303; 0.103;  0.110; 0.097; 0.413; 0.045;NN            ; 9.08; 1.52;11.56;  2053;   2024;    330;   -91;  6323;NGC 6583                       ;273.9620;-22.1430
NGC_659          ;026.108;+60.679;129.378; -1.528; 0.064; 138; -0.796; 0.060; -0.257; 0.090; 0.287; 0.046;NN            ; 7.19; 1.86;12.60;  3317;  -2103;   2563;   -88; 10753;NGC 659                        ;026.1080;+60.6790
NGC_6603         ;274.616;-18.409; 12.861; -1.314; 0.040; 403;  0.119; 0.142; -2.042; 0.133; 0.324; 0.062;NN            ; 8.34; 1.63;12.18;  2727;   2658;    606;   -62;  5713;NGC 6603                       ;274.6160;-18.4090
NGC_6611         ;274.688;-13.792; 16.962;  0.811; 0.063; 348;  0.178; 0.272; -1.576; 0.300; 0.566; 0.114;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;NGC 6611                       ;274.6880;-13.7920
NGC_6613         ;274.989;-17.089; 14.193; -1.003; 0.058;  25; -0.508; 0.103; -0.917; 0.137; 0.640; 0.044;NN            ; 7.26; 1.11;10.85;  1477;   1432;    362;   -25;  6917;NGC 6613                       ;274.9890;-17.0890
NGC_663          ;026.586;+61.212;129.494; -0.958; 0.150; 468; -1.110; 0.074; -0.235; 0.083; 0.320; 0.036;NN            ; 7.47; 2.18;12.35;  2950;  -1876;   2276;   -49; 10466;NGC 663                        ;026.5860;+61.2120
NGC_6631         ;276.790;-12.029; 19.480; -0.171; 0.049;  74; -0.388; 0.134; -2.918; 0.118; 0.329; 0.058;manual        ; 8.30; 2.80;12.14;  2676;   2522;    892;    -7;  5885;NGC 6631                       ;276.7900;-12.0290
