Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,E(B-V)
99,BH_55,134.042,-39.518,261.527,3.745,0.048,60,-3.971,3.118,0.185,NN,9.36,1.22,13.4,4783.0,-703.0,-4721.0,312.0,10201.0,ClVDBH55,134.042,-39.518,
100,BH_56,134.355,-43.181,264.47,1.548,0.215,109,-5.57,5.439,1.078,NN,7.25,0.7,9.62,840.0,-81.0,-836.0,22.0,8462.0,ClVDBH56,134.355,-43.181,
101,BH_66,141.314,-54.719,276.0,-3.013,0.023,27,-4.157,3.599,0.097,NN,8.86,1.38,14.0,6301.0,657.0,-6258.0,-331.0,9908.0,ClVDBH66,141.314,-54.719,
102,BH_67,141.687,-51.273,273.763,-0.381,0.025,43,-3.64,2.811,0.098,NN,8.79,3.0,14.56,8167.0,536.0,-8149.0,-54.0,11283.0,ClVDBH67,141.687,-51.273,
103,BH_72,142.838,-53.04,275.491,-1.178,0.023,55,-4.621,3.299,0.11,NN,8.35,2.53,13.83,5844.0,559.0,-5816.0,-120.0,9714.0,ClVDBH72,142.838,-53.04,
104,BH_73,142.981,-50.225,273.638,0.944,0.014,54,-3.574,2.306,0.105,NN,8.87,2.73,14.13,6708.0,425.0,-6693.0,110.0,10365.0,ClVDBH73,142.981,-50.225,
105,BH_78,145.952,-56.574,279.186,-2.615,0.013,46,-3.69,2.71,0.15,NN,8.53,3.15,13.66,5400.0,861.0,-5325.0,-246.0,9181.0,ClVDBH78,145.952,-56.574,
106,BH_84,150.331,-58.218,282.057,-2.418,0.024,57,-4.848,3.289,0.2,NN,8.13,2.09,13.24,4449.0,928.0,-4347.0,-187.0,8592.0,ClVDBH84,150.331,-58.218,
107,BH_85,150.469,-49.564,276.914,4.546,0.031,74,-5.689,4.676,0.106,NN,9.36,1.1,14.37,7481.0,897.0,-7403.0,592.0,10497.0,ClVDBH85,150.469,-49.564,
108,BH_87,151.148,-55.386,280.724,0.122,0.066,177,-6.335,2.626,0.416,NN,8.07,1.36,11.63,2121.0,394.0,-2084.0,4.0,8214.0,ClVDBH87,151.148,-55.386,
109,BH_90,153.064,-58.069,283.139,-1.451,0.043,126,-5.385,2.295,0.369,NN,8.1,1.39,12.23,2792.0,634.0,-2718.0,-70.0,8170.0,ClVDBH90,153.064,-58.069,
110,BH_92,154.779,-56.425,282.988,0.431,0.02,41,-5.896,3.446,0.388,NN,8.33,1.33,11.89,2384.0,535.0,-2323.0,17.0,8142.0,ClVDBH92,154.779,-56.425,
111,BH_99,159.553,-59.168,286.585,-0.592,0.537,371,-14.494,0.919,2.225,NN,7.98,0.34,8.35,467.0,133.0,-447.0,-4.0,8218.0,ClVDBH99,159.5531,-59.168,
112,Barkhatova_1,313.398,46.037,86.208,0.818,0.072,47,-2.44,-4.478,0.476,NN,8.42,1.18,11.71,2195.0,145.0,2190.0,31.0,8482.0,NAMEClBarkhatova1,313.398,46.037,0.54999995
113,Basel_1,282.036,-5.876,27.326,-1.946,0.07,79,-0.079,-4.509,0.525,NN,8.36,1.24,11.33,1846.0,1639.0,846.0,-62.0,6754.0,ClBasel1,282.036,-5.876,0.43
114,Basel_10,34.878,58.304,134.304,-2.61,0.032,8,-0.48,-0.815,0.442,NN,7.85,1.66,11.83,2327.0,-1623.0,1663.0,-105.0,10101.0,ClBasel10,34.878,58.304,0.625
115,Basel_11a,109.296,-13.988,228.284,-0.768,0.078,92,-1.581,0.929,0.709,NN,7.98,0.33,10.67,1363.0,-907.0,-1017.0,-18.0,9302.0,ClBasel11a,109.296,-13.988,0.16949585
116,Basel_11b,89.547,21.965,187.442,-1.117,0.065,73,1.046,-4.137,0.534,NN,8.36,1.56,11.27,1793.0,-1778.0,-232.0,-34.0,10121.0,ClBasel11b,89.547,21.965,0.44786423
117,Basel_17,167.65,-59.047,290.274,1.324,0.091,18,-6.628,2.174,0.438,NN,8.02,0.45,11.81,2305.0,798.0,-2162.0,53.0,7845.0,ClBasel17,167.6501,-59.047,
118,Basel_18,201.967,-62.306,307.151,0.267,0.06,49,-5.008,-2.05,0.508,NN,7.44,0.65,11.35,1863.0,1125.0,-1485.0,8.0,7366.0,ClBasel18,201.967,-62.306,
119,Basel_4,87.242,30.19,179.305,1.272,0.033,45,0.835,-1.801,0.286,NN,8.05,1.48,12.61,3322.0,-3321.0,40.0,73.0,11661.0,ClBasel4,87.242,30.19,0.5192799
120,Basel_8,98.55,8.005,203.849,-0.156,0.309,14,-0.129,-2.373,0.625,NN,7.84,0.64,10.9,1510.0,-1381.0,-610.0,-4.0,9740.0,ClBasel8,98.55,8.005,0.16659077
121,Berkeley_1,2.449,60.476,117.82,-1.982,0.036,48,-2.758,-0.173,0.235,NN,8.48,1.52,12.89,3779.0,-1762.0,3340.0,-130.0,10640.0,ClBerkeley1,2.449,60.476,0.53
122,Berkeley_10,54.894,66.486,138.619,8.881,0.082,179,-1.47,1.047,0.372,NN,9.08,1.94,11.87,2365.0,-1753.0,1544.0,365.0,10211.0,ClBerkeley10,54.894,66.486,0.5
123,Berkeley_100,351.485,63.781,113.657,2.459,0.022,31,-3.372,-1.557,0.123,NN,9.09,2.48,13.92,6084.0,-2439.0,5567.0,261.0,12132.0,ClBerkeley100,351.485,63.781,0.98499995
124,Berkeley_101,353.213,64.209,114.511,2.63,0.024,38,-1.899,-1.089,0.177,NN,8.58,2.84,13.15,4272.0,-1770.0,3883.0,196.0,10830.0,ClBerkeley101,353.213,64.209,0.9867575
125,Berkeley_102,354.66,56.637,113.006,-4.826,0.049,21,-1.559,-0.34,0.05,NN,9.59,1.11,15.11,10519.0,-4096.0,9648.0,-885.0,15740.0,ClBerkeley102,354.66,56.637,0.45
126,Berkeley_103,356.303,59.297,114.558,-2.494,0.022,33,-1.348,-0.861,0.093,NN,9.04,2.4,13.91,6060.0,-2516.0,5506.0,-263.0,12173.0,ClBerkeley103,356.303,59.297,0.842989
127,Berkeley_104,0.865,63.587,117.626,1.211,0.038,47,-2.392,0.09,0.198,NN,8.89,1.36,13.18,4325.0,-2005.0,3831.0,91.0,11032.0,ClBerkeley104,0.865,63.587,0.50416946
128,Berkeley_11,65.126,44.922,157.066,-3.65,0.038,76,1.08,-1.883,0.322,NN,7.84,2.51,12.42,3050.0,-2803.0,1186.0,-194.0,11206.0,ClBerkeley11,65.126,44.922,0.77685994
129,Berkeley_12,71.1,42.691,161.64,-2.014,0.036,76,0.836,-1.713,0.202,NN,9.3,2.16,13.17,4298.0,-4077.0,1353.0,-151.0,12490.0,ClBerkeley12,71.1,42.691,0.765
